label,info,image path,page url
abbotts babbler,Abbott's babbler (Malacocincla abbotti) is a species of bird in the family Pellorneidae. It is widely distributed along the Himalayas in South Asia and extending into the forests of Southeast Asia.,https://upload.wikimedia.org/wikipedia/commons/7/7c/Abbott%27s_babbler_%28Malacocincla_abbotti%29.jpg,https://en.wikipedia.org/wiki/Abbott%27s_babbler
abbotts booby,"Abbott's booby (Papasula abbotti) is an endangered seabird of the sulid family, which includes gannets and boobies. It is a large booby and is placed within its own monotypic genus.",https://upload.wikimedia.org/wikipedia/commons/5/53/Abbott%27s_Booby.jpg,https://en.wikipedia.org/wiki/Abbott%27s_booby
abyssinian ground hornbill,"The Abyssinian ground hornbill or northern ground hornbill (Bucorvus abyssinicus) is an African bird, found north of the equator, and is one of two species of ground hornbill. It is the second largest species of African hornbill, only surpassed by the slightly larger southern ground hornbill.",https://upload.wikimedia.org/wikipedia/commons/9/98/Abyssinian_ground-hornbill_%28Bucorvus_abyssinicus%29_female.jpg,https://en.wikipedia.org/wiki/Abyssinian_ground_hornbill
african crowned crane,"The grey crowned crane (Balearica regulorum), also known as the African crowned crane, golden crested crane, golden crowned crane, East African crane, East African crowned crane, African crane, Eastern crowned crane, Kavirondo crane, South African crane and crested crane, is a bird in the crane family, Gruidae. It is found in eastern and southern Africa, and is the national bird of Uganda.",https://upload.wikimedia.org/wikipedia/commons/b/bb/Balearica_regulorum_gibbericeps_MHNT_226_RdN_Burundi.jpg,https://en.wikipedia.org/wiki/Grey_crowned_crane
african emerald cuckoo,"The African emerald cuckoo (Chrysococcyx cupreus) is a species of cuckoo that is native to Africa.


== Taxonomy and phylogeny ==
As a member of the family Cuculidae, the African emerald cuckoo is an Old World cuckoo.",https://upload.wikimedia.org/wikipedia/commons/9/9d/African_emerald_cuckoo_%28Chrysococcyx_cupreus%29_female.jpg,https://en.wikipedia.org/wiki/African_emerald_cuckoo
african firefinch,"The African firefinch (Lagonosticta rubricata), also called the dark firefinch or blue-billed firefinch  due to the color of its bill, is a common species of estrildid finch found in almost all parts of Africa. It has an estimated global extent of occurrence of 5,400,000 km2 (2,100,000 sq mi).",https://upload.wikimedia.org/wikipedia/commons/e/ec/African_Firefinch%2C_Sakania%2C_DR_Congo_%2816288800681%29.jpg,https://en.wikipedia.org/wiki/African_firefinch
african oyster catcher,"The oystercatchers are a group of waders forming the family Haematopodidae, which has a single genus, Haematopus. They are found on coasts worldwide apart from the polar regions and some tropical regions of Africa and South East Asia.",https://upload.wikimedia.org/wikipedia/commons/0/00/African_Black_Oystercatcher%2C_%28Haematopus_moquini%29_standing_on_the_sand.jpg,https://en.wikipedia.org/wiki/Oystercatcher
african pied hornbill,"The African pied hornbill (Lophoceros fasciatus) is a bird of the hornbill family, a family of tropical near-passerine birds found in the Old World.
The African pied hornbill is a common resident breeder in much of equatorial Africa, from The Gambia to western Uganda and northern Angola.",https://upload.wikimedia.org/wikipedia/commons/8/8b/African_pied_hornbill_%28Tockus_fasciatus_semifasciatus%29_male.jpg,https://en.wikipedia.org/wiki/African_pied_hornbill
albatross,"Albatrosses, of the biological family Diomedeidae, are large seabirds related to the procellariids, storm petrels, and diving petrels in the order Procellariiformes (the tubenoses). They range widely in the Southern Ocean and the North Pacific.",https://upload.wikimedia.org/wikipedia/commons/8/8e/Albatross_Density_Map.jpg,https://en.wikipedia.org/wiki/Albatross
alberts towhee,"Abert's towhee (Melozone aberti) is a bird of the family Passerellidae, native to a small range in southwestern North America, generally the lower Colorado River and Gila River watersheds, nearly endemic to Arizona, but also present in small parts of California, Nevada, Utah, New Mexico, and Sonora in Mexico. The name of this bird commemorates the American ornithologist James William Abert (1820–1897).",https://upload.wikimedia.org/wikipedia/commons/2/22/Pipilo_aberti.jpg,https://en.wikipedia.org/wiki/Abert%27s_towhee
